OBJECTID_1,AREA_NAME,HOOD_ID,ASSAULT_2014,ASSAULT_2015,ASSAULT_2016,ASSAULT_2017,ASSAULT_2018,ASSAULT_2019,ASSAULT_2020,ASSAULT_2021,ASSAULT_2022,ASSAULT_2023,ASSAULT_RATE_2014,ASSAULT_RATE_2015,ASSAULT_RATE_2016,ASSAULT_RATE_2017,ASSAULT_RATE_2018,ASSAULT_RATE_2019,ASSAULT_RATE_2020,ASSAULT_RATE_2021,ASSAULT_RATE_2022,ASSAULT_RATE_2023,AUTOTHEFT_2014,AUTOTHEFT_2015,AUTOTHEFT_2016,AUTOTHEFT_2017,AUTOTHEFT_2018,AUTOTHEFT_2019,AUTOTHEFT_2020,AUTOTHEFT_2021,AUTOTHEFT_2022,AUTOTHEFT_2023,AUTOTHEFT_RATE_2014,AUTOTHEFT_RATE_2015,AUTOTHEFT_RATE_2016,AUTOTHEFT_RATE_2017,AUTOTHEFT_RATE_2018,AUTOTHEFT_RATE_2019,AUTOTHEFT_RATE_2020,AUTOTHEFT_RATE_2021,AUTOTHEFT_RATE_2022,AUTOTHEFT_RATE_2023,BIKETHEFT_2014,BIKETHEFT_2015,BIKETHEFT_2016,BIKETHEFT_2017,BIKETHEFT_2018,BIKETHEFT_2019,BIKETHEFT_2020,BIKETHEFT_2021,BIKETHEFT_2022,BIKETHEFT_2023,BIKETHEFT_RATE_2014,BIKETHEFT_RATE_2015,BIKETHEFT_RATE_2016,BIKETHEFT_RATE_2017,BIKETHEFT_RATE_2018,BIKETHEFT_RATE_2019,BIKETHEFT_RATE_2020,BIKETHEFT_RATE_2021,BIKETHEFT_RATE_2022,BIKETHEFT_RATE_2023,BREAKENTER_2014,BREAKENTER_2015,BREAKENTER_2016,BREAKENTER_2017,BREAKENTER_2018,BREAKENTER_2019,BREAKENTER_2020,BREAKENTER_2021,BREAKENTER_2022,BREAKENTER_2023,BREAKENTER_RATE_2014,BREAKENTER_RATE_2015,BREAKENTER_RATE_2016,BREAKENTER_RATE_2017,BREAKENTER_RATE_2018,BREAKENTER_RATE_2019,BREAKENTER_RATE_2020,BREAKENTER_RATE_2021,BREAKENTER_RATE_2022,BREAKENTER_RATE_2023,HOMICIDE_2014,HOMICIDE_2015,HOMICIDE_2016,HOMICIDE_2017,HOMICIDE_2018,HOMICIDE_2019,HOMICIDE_2020,HOMICIDE_2021,HOMICIDE_2022,HOMICIDE_2023,HOMICIDE_RATE_2014,HOMICIDE_RATE_2015,HOMICIDE_RATE_2016,HOMICIDE_RATE_2017,HOMICIDE_RATE_2018,HOMICIDE_RATE_2019,HOMICIDE_RATE_2020,HOMICIDE_RATE_2021,HOMICIDE_RATE_2022,HOMICIDE_RATE_2023,ROBBERY_2014,ROBBERY_2015,ROBBERY_2016,ROBBERY_2017,ROBBERY_2018,ROBBERY_2019,ROBBERY_2020,ROBBERY_2021,ROBBERY_2022,ROBBERY_2023,ROBBERY_RATE_2014,ROBBERY_RATE_2015,ROBBERY_RATE_2016,ROBBERY_RATE_2017,ROBBERY_RATE_2018,ROBBERY_RATE_2019,ROBBERY_RATE_2020,ROBBERY_RATE_2021,ROBBERY_RATE_2022,ROBBERY_RATE_2023,SHOOTING_2014,SHOOTING_2015,SHOOTING_2016,SHOOTING_2017,SHOOTING_2018,SHOOTING_2019,SHOOTING_2020,SHOOTING_2021,SHOOTING_2022,SHOOTING_2023,SHOOTING_RATE_2014,SHOOTING_RATE_2015,SHOOTING_RATE_2016,SHOOTING_RATE_2017,SHOOTING_RATE_2018,SHOOTING_RATE_2019,SHOOTING_RATE_2020,SHOOTING_RATE_2021,SHOOTING_RATE_2022,SHOOTING_RATE_2023,THEFTFROMMV_2014,THEFTFROMMV_2015,THEFTFROMMV_2016,THEFTFROMMV_2017,THEFTFROMMV_2018,THEFTFROMMV_2019,THEFTFROMMV_2020,THEFTFROMMV_2021,THEFTFROMMV_2022,THEFTFROMMV_2023,THEFTFROMMV_RATE_2014,THEFTFROMMV_RATE_2015,THEFTFROMMV_RATE_2016,THEFTFROMMV_RATE_2017,THEFTFROMMV_RATE_2018,THEFTFROMMV_RATE_2019,THEFTFROMMV_RATE_2020,THEFTFROMMV_RATE_2021,THEFTFROMMV_RATE_2022,THEFTFROMMV_RATE_2023,THEFTOVER_2014,THEFTOVER_2015,THEFTOVER_2016,THEFTOVER_2017,THEFTOVER_2018,THEFTOVER_2019,THEFTOVER_2020,THEFTOVER_2021,THEFTOVER_2022,THEFTOVER_2023,THEFTOVER_RATE_2014,THEFTOVER_RATE_2015,THEFTOVER_RATE_2016,THEFTOVER_RATE_2017,THEFTOVER_RATE_2018,THEFTOVER_RATE_2019,THEFTOVER_RATE_2020,THEFTOVER_RATE_2021,THEFTOVER_RATE_2022,THEFTOVER_RATE_2023,POPULATION_2023,Shape__Area,Shape__Length
1,South Eglinton-Davisville,174,63,61,70,82,85,70,82,121,128,101,344.9786377,332.1354675,377.8269653,429.4542847,431.5816345,345.8668823,396.8446045,577.4553833,597.6281738,459.3623657,5,4,3,8,15,8,15,15,10,21,27.3792572,21.77937508,16.19258308,41.89797974,76.16146088,39.52764511,72.59352112,71.58538055,46.68970108,95.51098633,17,19,27,34,30,42,94,34,18,37,93.08947754,103.452034,145.7332611,178.0664063,152.3229218,207.5201416,454.9194336,162.2601929,81.86655751,168.28125,27,32,25,37,48,83,70,44,26,43,147.8479919,174.2350006,134.9382019,193.7781525,243.7166748,410.0993042,338.7697754,209.9837799,121.393219,195.5701141,0,0,1,0,0,1,1,1,0,,0,0,5.397527695,0,0,4.940955639,4.839568138,4.772358418,0,,12,10,9,7,17,5,16,11,16,3,65.71022034,54.44843674,48.57775116,36.66073227,86.31632233,24.70477867,77.43309021,52.49594498,74.70352173,13.64442635,1,0,1,0,1,1,1,0,1,,5.475851536,0,5.397527695,0,5.077430725,4.940955639,4.839568138,0,4.668970108,,18,19,13,17,19,24,43,22,43,40,98.56533051,103.452034,70.16786194,89.03320313,96.47118378,118.5829315,208.1014404,104.99189,195.5701096,181.9256897,4,3,4,1,3,3,5,6,3,8,21.90340614,16.33453178,21.59011078,5.237247467,15.23229218,14.82286644,24.19784164,28.63415146,14.00691032,36.38513565,21987,944309.032714844,4005.54988673295
2,North Toronto,173,45,52,43,52,55,77,72,104,130,105,386.963623,449.127655,372.0688782,429.0075073,433.5487976,582.0105591,525.9697266,740.5825195,893.8393555,696.4249878,4,1,2,2,4,4,11,14,10,18,34.39676666,8.637070656,17.30552864,16.50028801,31.53082085,30.23431587,80.35649109,99.69379425,68.75687408,119.387146,5,13,9,13,17,22,50,22,10,22,42.99596024,112.2819138,77.87487793,107.2518768,134.0059967,166.2887421,365.2567749,156.6616821,66.32619221,145.9176178,25,44,15,24,42,36,88,49,46,31,214.9797974,380.0310974,129.7914734,198.0034637,331.0736389,272.1088562,642.8519287,348.9282837,316.2816162,205.6111908,0,0,0,0,0,1,1,0,0,,0,0,0,0,0,7.558578968,7.305135727,0,0,,5,10,7,6,9,19,3,10,11,14,42.99596024,86.37070465,60.5693512,49.50086594,70.9443512,143.6130066,21.91540718,71.20985413,75.63256073,92.85666656,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,7.120985508,6.875687599,,18,6,13,13,7,18,24,17,23,41,154.7854462,51.82242203,112.485939,107.2518768,55.178936,136.0544281,175.3232574,121.0567551,152.5502421,271.9373779,2,3,2,2,5,4,6,2,4,7,17.19838333,25.91121101,17.30552864,16.50028801,39.41352844,30.23431587,43.83081436,14.24197102,27.5027504,46.42833328,15077,402030.818359375,2543.94588412104
3,Dovercourt Village,172,56,57,79,94,94,96,75,101,95,104,412.0070496,422.159668,587.447937,693.9317627,684.9315186,694.3439941,542.7310181,734.3318481,688.9549561,751.6080322,8,10,18,11,11,12,18,8,25,28,58.85815048,74.06310272,133.8488922,81.20478058,80.15155792,86.79299927,130.2554474,58.16489792,181.3039398,202.3560028,26,34,52,45,30,26,28,26,20,38,191.2889862,251.8145447,386.6745911,332.2013855,218.5951691,188.0514984,202.6195831,189.0359192,144.5400014,274.6260071,38,21,37,39,50,83,47,19,33,46,279.5762329,155.5325165,275.1338501,287.9078674,364.3252563,600.3182373,340.1114502,138.1416321,239.3211975,332.4420166,1,0,0,1,0,2,1,0,0,,7.35726881,0,0,7.38225317,0,14.46549988,7.236413479,0,0,,24,19,13,38,31,14,15,22,10,21,176.5744629,140.7198944,96.66864777,280.5256042,225.8816681,101.2584991,108.5462036,159.9534607,72.52157593,151.7669983,0,0,2,0,0,0,0,2,0,1,0,0,14.87209988,0,0,0,0,14.54122448,0,7.227000237,40,34,49,42,82,67,67,18,28,24,294.2907715,251.8145447,364.3664551,310.0546265,597.4934692,484.5942383,484.8397217,130.8710175,202.356002,173.447998,5,3,5,3,4,3,3,2,4,3,36.78634644,22.2189312,37.18024826,22.14675903,29.14602089,21.69824982,21.70923996,14.54122448,29.00863075,21.68099976,13837,1503002.17700195,4965.49644819322
4,Junction-Wallace Emerson,171,154,157,166,157,157,182,169,178,139,229,655.6818848,658.6399536,684.8467407,638.5748291,627.0218506,716.8458862,661.9922485,696.6459351,539.2404175,872.7134399,19,17,12,17,29,23,44,35,47,34,80.89581299,71.31769562,49.50699234,69.14504242,115.8193207,90.59041595,172.3530121,136.9809418,182.3330841,129.5731659,40,41,50,62,65,70,54,36,36,55,170.3069763,172.0015106,206.2791443,252.1760406,259.5950317,275.7099609,211.5241547,140.8946838,137.195122,209.603653,37,46,41,51,91,103,110,76,56,82,157.5339508,192.9773102,169.1488953,207.4351196,363.4330444,405.6875,430.8825378,297.4443359,217.2479401,312.5,1,3,0,1,0,1,0,0,0,,4.257674694,12.58547592,0,4.067355633,0,3.938713551,0,0,0,,26,30,26,27,18,30,22,11,20,18,110.6995392,125.8547668,107.265152,109.8185959,71.88785553,118.1614075,86.17650604,43.05115128,77.58854675,68.5975647,0,2,1,5,3,2,5,3,3,2,0,8.390317917,4.125582695,20.33677673,11.98130894,7.877427101,19.58556938,11.74122334,11.63828182,7.621951103,70,26,48,73,153,125,139,52,61,57,298.0372009,109.0741272,198.0279694,296.9169312,611.0467529,492.3392029,544.4788208,203.5145416,232.4695122,217.2256165,5,5,6,6,7,4,9,8,8,9,21.28837204,20.97579384,24.75349617,24.40413284,27.95638847,15.7548542,35.25402451,31.30992889,31.03541946,34.29878235,26240,2222866.7331543,7435.19238437126
5,Yonge-Bay Corridor,170,394,524,487,603,576,660,383,323,443,543,3817.829346,4789.324707,4208.070313,4995.443848,4575.786621,5048.573242,2842.933594,2343.636719,3116.864746,3686.104248,12,20,20,14,27,38,14,17,29,46,116.279068,182.798645,172.81604,115.9804459,214.4899902,290.6754456,103.9192429,123.3492966,204.038559,312.2666626,223,156,202,215,267,219,173,169,230,228,2160.852783,1425.829468,1745.442017,1781.128296,2121.067627,1675.208496,1284.144897,1226.237061,1561.333243,1547.75647,69,115,61,125,100,119,149,112,123,108,668.6046753,1051.092163,527.0889282,1035.539673,794.4073486,910.2730713,1105.997681,812.6541748,865.4049072,733.1477661,1,2,0,0,1,2,0,1,1,1,9.689922333,18.27986526,0,0,7.944073677,15.29870701,0,7.255840778,7.035812378,6.788405418,73,52,74,88,88,63,55,51,55,62,707.3643188,475.2764893,639.4193115,729.0199585,699.0784912,481.9092712,408.2541504,370.0478821,386.9696655,420.881134,1,3,0,3,4,4,2,0,1,2,9.689922333,27.4197979,0,24.85295296,31.77629471,30.59741402,14.84560585,0,7.035812378,13.57681084,121,103,79,89,113,171,135,64,107,76,1172.480591,941.4130249,682.6233521,737.3042603,897.6803589,1308.039429,1002.078369,464.3738098,726.3593782,515.9188232,37,30,27,35,44,63,35,26,51,51,358.5271301,274.1979675,233.301651,289.9511108,349.5392456,481.9092712,259.7980957,188.6518707,358.826416,346.2086792,14731,1118724.5456543,4811.10766870277
6,Bay-Cloverhill,169,104,100,123,154,135,164,101,147,120,142,742.6449585,685.0722656,807.8817749,971.9767456,818.2313843,958.671875,573.7006836,817.256897,647.5985107,745.2112427,6,4,6,7,15,13,9,22,14,17,42.84490204,27.40289116,39.40886688,44.18076324,90.91460419,75.99228668,51.12184143,122.3105545,75.55315399,89.21543121,78,87,99,99,96,70,59,58,68,56,556.9837036,596.0128784,650.2462769,624.8422241,581.8534546,409.189209,335.1320496,322.4551086,356.8617161,293.8861084,26,45,58,54,71,82,79,38,43,61,185.6612396,308.2825317,380.9523926,340.8230286,430.3291016,479.3359375,448.736145,211.2636871,232.0561218,320.125946,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,5.845560074,0,0,0,,11,15,19,19,29,36,19,23,19,20,78.54898834,102.7608414,124.7947464,119.9192123,175.7682343,210.4401703,107.9238815,127.8701248,102.5364304,104.9593277,0,0,0,0,1,0,0,0,1,1,0,0,0,0,6.060973167,0,0,0,5.396654129,5.24796629,36,25,24,15,32,33,35,20,26,40,257.069397,171.2680664,157.6354675,94.67306519,193.9511414,192.9034882,198.8071594,111.1914139,136.4471267,209.9186554,16,13,13,14,10,10,7,10,9,13,114.253067,89.05939484,85.38587952,88.36152649,60.60973358,58.45560455,39.76143265,55.59570694,48.56988525,68.22356415,19055,690548.715332031,3359.58320926838
7,Bendale-Glen Andrew,156,137,148,172,166,182,204,134,129,166,237,734.9390869,782.4064331,894.435791,849.9744263,916.5533447,1012.155823,660.0985107,634.6551514,809.9536743,1140.904053,35,37,42,25,39,35,46,76,83,144,187.7581635,195.6016083,218.4087372,128.008194,196.4042969,173.6541748,226.6009827,373.9053345,404.9768372,693.2075195,10,7,4,23,2,3,1,4,6,10,53.64519119,37.0057106,20.80083275,117.76754,10.07201481,14.88464355,4.92610836,19.67922783,28.88364704,48.13941193,71,33,30,27,33,30,20,19,24,29,380.8808594,174.4554901,156.0062408,138.2488403,166.1882477,148.8464355,98.52217102,93.47633362,117.1017303,139.6042938,0,0,2,0,0,1,1,0,2,,0,0,10.40041637,0,0,4.961547852,4.92610836,0,9.758477211,,52,55,48,67,44,35,19,49,54,55,278.9549866,290.7591553,249.6099854,343.0619507,221.5843353,173.6541748,93.59606171,241.0705566,263.4789124,264.7667542,1,1,3,5,1,3,7,5,7,1,5.364519119,5.286530018,15.60062408,25.60163879,5.036007404,14.88464355,34.48275757,24.59903526,34.15467072,4.813941002,84,64,44,64,53,50,44,41,69,76,450.6195984,338.3379211,228.8091583,327.7009583,266.9083862,248.0773926,216.748764,201.7120972,332.161941,365.8595276,6,8,8,17,13,8,4,7,13,20,32.18711472,42.29224014,41.6016655,87.04557037,65.46809387,39.69238281,19.70443344,34.43864822,63.4301033,96.27882385,20773,4913225.28295898,9230.79989765376
8,Downsview,155,114,127,131,137,127,143,128,134,153,208,722.5250244,804.9182129,828.0134277,852.7324829,776.3310547,861.9130859,766.6506958,801.3395386,906.0223999,1223.313477,37,32,38,31,31,69,52,61,127,95,234.5037384,202.8140411,240.187088,192.954071,189.4981384,415.8881226,311.4518433,364.7889099,752.0578003,558.7249146,7,4,9,4,10,8,5,6,6,8,44.36557388,25.35175514,56.88641739,24.89729881,61.12842941,48.21891403,29.94729233,35.88087463,35.28789037,47.05052185,30,33,28,26,42,37,45,28,32,74,190.1381683,209.1519775,176.9799652,161.8324432,256.7394104,223.0124817,269.5256348,167.4440918,189.494873,435.2173157,1,0,0,0,1,2,2,0,0,,6.337938786,0,0,0,6.112843037,12.05472851,11.97891712,0,0,,30,25,11,15,34,20,7,11,25,28,190.1381683,158.4484711,69.52783966,93.36486816,207.8366699,120.547287,41.9262085,65.78160858,148.0428772,164.6768188,4,2,2,5,2,7,3,0,4,3,25.35175514,12.67587757,12.64142609,31.12162399,12.22568607,42.19155121,17.96837616,0,23.68685913,17.64394569,58,51,62,51,63,72,76,55,64,70,367.6004639,323.2348938,391.8842163,317.4405518,385.1091003,433.9702148,455.1988525,328.90802,376.404164,411.6920471,5,11,3,13,3,7,10,5,15,17,31.68969536,69.71733093,18.96213913,80.91622162,18.33852959,42.19155121,59.89458466,29.90073013,88.82572174,99.98235321,17003,8282833.37353516,14053.3016763336
9,Oakdale-Beverley Heights,154,221,232,230,278,302,295,235,293,310,447,1086.689331,1144.153442,1135.80249,1355.039917,1450.876831,1400.759766,1111.741943,1388.428223,1458.480347,2078.779785,66,70,51,53,77,93,103,115,107,161,324.5316467,345.2187195,251.8518524,258.3349609,369.9255371,441.5954285,487.2741089,544.946228,503.4109497,748.7327271,5,8,7,1,7,8,11,9,14,12,24.5857296,39.4535675,34.56790161,4.87424469,33.6295929,37.98670578,52.03898239,42.64796448,65.10719434,55.8061676,57,43,24,32,44,80,44,63,50,89,280.2773132,212.0629272,118.5185165,155.9758301,211.3860168,379.8670349,208.1559296,298.5357666,235.2387695,413.8957214,0,0,1,2,0,1,0,0,2,1,0,0,4.938271523,9.74848938,0,4.748338223,0,0,9.409550667,4.650513649,41,39,36,49,38,41,50,29,39,30,201.6029968,192.3361511,177.777771,238.8379822,182.5606537,194.6818542,236.5408325,137.4212189,183.4862366,139.5154114,4,4,4,6,7,3,5,9,7,6,19.66858482,19.72678375,19.75308609,29.24546623,33.6295929,14.24501419,23.65408325,42.64796448,32.9334259,27.9030838,75,41,43,62,117,119,158,113,106,73,368.7859497,202.1995392,212.3456726,302.2031555,562.0946655,565.0522461,747.4689941,535.4688721,492.9544715,339.4875183,10,4,8,9,11,7,14,18,19,23,49.1714592,19.72678375,39.50617218,43.86820221,52.84650421,33.23836517,66.23143005,85.29592896,89.39073181,106.9618225,21503,6685141.25830078,12397.4903776028
10,Avondale,153,38,40,43,49,74,46,43,56,37,50,296.088501,295.42099,301.3948364,335.8694763,495.3809204,301.8174744,278.2991333,360.2676392,234.1772156,309.6166992,9,4,6,1,8,15,33,34,19,25,70.12622833,29.54209709,42.05509186,6.854479313,53.55469131,98.41873932,213.5784149,218.7339172,120.2531662,154.8083496,3,8,17,22,6,13,37,20,29,9,23.37540817,59.08419418,119.1560974,150.7985535,40.16601944,85.29624176,239.4667053,128.6670074,179.5776828,55.73100662,11,9,7,11,13,13,13,17,8,19,85.70983124,66.46971893,49.06427383,75.39927673,87.02637482,85.29624176,84.13694763,109.3669586,50.63291168,117.6543427,0,0,0,0,11,0,1,0,1,,0,0,0,0,73.63770294,0,6.472073078,0,6.32911396,,4,4,3,10,11,5,9,8,4,6,31.16721153,29.54209709,21.02754593,68.54479218,73.63770294,32.80624771,58.24865723,51.4668045,25.31645584,37.15400314,1,0,0,1,0,0,1,0,0,1,7.791802883,0,0,6.854479313,0,0,6.472073078,0,0,6.192333698,10,7,14,9,9,22,36,27,40,64,77.91802979,51.69866943,98.12854767,61.69031525,60.24903107,144.3474884,232.9946289,173.70047,247.6933556,396.3093567,2,1,6,5,5,4,3,5,9,5,15.58360577,7.385524273,42.05509186,34.27239609,33.4716835,26.24499702,19.41621971,32.16675186,56.96202469,30.96166992,16149,1031682.44189453,5253.84815377906
