_id,ADDRESS_INFO,NAME,CATEGORY,PHONE,EMAIL,WEBSITE,GEOID,RECEIVED_DATE,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,PLACE_NAME,GENERAL_USE_CODE,CENTRELINE,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,WARD,WARD_2003,WARD_2018,MI_PRINX,ATTRACTION,MAP_ACCESS,geometry
1, ,BMO Field,Sports / Entertainment Venue,416-815-5982, ,https://www.bmofield.com/,20229243, ,20229243,170,Princes' Blvd,170 Princes' Blvd,M6K 3C3,former Toronto,Toronto,CNE BMO Field,107007,20231258,170, , , ,20228,Spadina-Fort York,19,10,4163950,"BMO Field is home to the Toronto FC (Major League Soccer), Canada's national soccer team, and the home of the Toronto Argonauts (Canadian Football League).",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.4184156138918, 43.6346633567159]]}"
2, ,Aga Khan Museum,Museum,416-646-4677, ,https://www.agakhanmuseum.org/,10142948, ,10142948,77,Wynford Dr,77 Wynford Dr,M3C 1K1,North York,Toronto, ,107008,444094,77, , , ,7128,Don Valley East,26,16,4094277,"Dedicated to sharing the artistic, intellectual, and scientific contributions that Islamic civilizations and cultures have made to world heritage.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.3318039207097, 43.7273310268744]]}"
3, ,Scotiabank Arena (formerly Air Canada Centre),Sports / Entertainment Venue,416-815-5500, ,https://www.scotiabankarena.com/,7929257, ,7929257,40,Bay St,40 Bay St,M5J 2X2,former Toronto,Toronto,Scotiabank Arena,107010,7929256,40, , , ,2962,Spadina-Fort York,28,10,3176821,"The Scotiabank Arena is a multi-purpose indoor sporting arena and concert venue. It is the home of the Toronto Maple Leafs Hockey Club, the Toronto Raptors basketball team, and the Toronto Rock Lacrosse team.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.3788009534123, 43.6454365794855]]}"
4, ,Al Green Theatre (at the Miles Nadal Jewish Community Centre),Performing Arts,416-924-6211, ,http://www.algreentheatre.ca/,8418224, ,8418224,750,Spadina Ave,750 Spadina Ave,M5S 2J2,former Toronto,Toronto,Miles Nadal Jewish Community Centre,115001,8418213,750, , , ,4426,University-Rosedale,20,11,1951177,"The Al Green Theatre is used  for social and corporate event, theatre, film, concerts, dance; and lectures.",N,"{'type': 'MultiPoint', 'coordinates': [[-79.4038625877276, 43.6682055734258]]}"
5, ,Alexander Muir Memorial Gardens,Nature/ Park,416-338-4386, ,https://www.toronto.ca/data/parks/prd/facilities/complex/193/index.html,10154587, ,10154587,2901,Yonge St,2901 Yonge St, ,former Toronto,Toronto, ,106001,30094595,2901, , , ,4733,Don Valley West,25,15,4217141,Named after the famous composer Alexander Muir. The gardens act as a path into the tranquil ravine system that includes walking trails. The gardens are open year round.,Y,"{'type': 'MultiPoint', 'coordinates': [[-79.4009651976758, 43.7235314206549]]}"
6, ,Gallery Indigena,Gallery,416-366-3000, ,http://www.galleryindigena.com/,30032158, ,30032158,46,Gristmill Lane,46 Gristmill Lane,M5A 3C4,former Toronto,Toronto, ,115001,30029430,46, , , ,19554,Spadina-Fort York,28,10,3233105,"Located in the Distillery District, the Eskimo Art Gallery offers Inuit art.",N,"{'type': 'MultiPoint', 'coordinates': [[-79.3598410390005, 43.6520604856909]]}"
7, ,Allan Gardens,Nature/ Park,416-392-7288, ,https://www.toronto.ca/data/parks/prd/facilities/complex/41/index.html,12387690, ,12387690,19,Horticultural Ave,19 Horticultural Ave,M5A 2P2,former Toronto,Toronto, ,115001,30055840,19, , , ,3695,Toronto Centre,27,13,3358221,Allan Gardens is a park and indoor botanical garden built in 1910. The building houses six greenhouses featuring plants and flowers from across the globe. Open year round and free to the public.,Y,"{'type': 'MultiPoint', 'coordinates': [[-79.3745508759398, 43.6629442642063]]}"
8, ,Alumnae Theatre,Performing Arts,416-364-4170, ,https://www.alumnaetheatre.com/,11070101, ,11070101,70,Berkeley St,70 Berkeley St,M5A 2W6,former Toronto,Toronto, ,115001,11070091,70, , , ,2995,Toronto Centre,28,13,2198005,The theatre company is housed inside an old firehall and is the oldest theatre society in Toronto. Each year the company offers three productions.,Y,"{'type': 'MultiPoint', 'coordinates': [[-79.3647507641734, 43.6547408646452]]}"
9, ,Art Gallery of Ontario,Gallery,416-979-6648, ,https://ago.ca/,796549, ,796549,317,Dundas St W,317 Dundas St W,M5T 1G4,former Toronto,Toronto, ,107010,1144804,317, , , ,558,Spadina-Fort York,20,10,3838389,"The Art Gallery of Ontario (AGO) is one of the largest art galleries in North America, and holds more than 80,000 works in its collection. In 2008 the building was redesigned by famous architect and native Torontonian, Frank Gehry.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.3923703658983, 43.6555102789373]]}"
10, ,Ashbridges Bay Park,Nature/ Park,416-392-2489, ,https://www.toronto.ca/data/parks/prd/facilities/complex/1/index.html,7650406, ,7650406,1675,Lake Shore Blvd E,1675 Lake Shore Blvd E,M4L 3W6,former Toronto,Toronto, ,106001,13973014,1675, , , ,3803,Beaches-East York,32,19,4149245,"Ashbridges Bay waterfront park features large beaches, fishing areas, a marina, and the Woodbine Beach boardwalk.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.3109772629253, 43.663540534279]]}"
11, ,Bluffer's Park and Beach (Scarborough Bluffs),Nature/ Park,416-392-2489, ,https://www.toronto.ca/data/parks/prd/facilities/complex/2/index.html,14077650, ,14077650,1,Brimley Rd S,1 Brimley Rd S, ,Scarborough,Toronto,Bluffer's Park,106001,30034748,1, , , ,10496,Scarborough Southwest,36,20,3837195,"Providing a beautiful backdrop for locals and visitors alike, the Bluffs are one of Toronto's great natural wonders.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.2347677158986, 43.708204762686]]}"
12, ,Artscape Wychwood Barns,Landmark,416-338-4386, ,https://artscapewychwoodbarns.ca/,887004, ,,76,Wychwood Ave,76 Wychwood Ave,M6G 2X7,former Toronto,Toronto, ,,,, , , ,,Toronto-St. Paul's,21,12,,"A heritage building converted into a community centre that hosts many events, festivals, farmers market and a children's theatre.", ,"{'type': 'MultiPoint', 'coordinates': [[-79.4227256643923, 43.6818791350469]]}"
13, ,BAPS Shri Swaminarayan Mandir,Landmark,416-798-2277, ,http://www.baps.org/Global-Network/North-America/Toronto.aspx,7063040, ,7063040,61,Claireville Dr,61 Claireville Dr,M9W 5Z7,Etobicoke,Toronto, ,114001,7063031,61, , , ,1350,Etobicoke North,1,1,2361585,"This unique-to-Canada architectural monument is made with 24,000 pieces of marble and stone. Discover the more than 10,000-year-old heritage of India.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.6248083236811, 43.7412808602927]]}"
14, ,Beanfield Centre,Convention & Trade Centres,416-263-3000, ,https://www.beanfieldcentre.com/,13497744, ,13497744,105,Princes' Blvd,105 Princes' Blvd,M6K 3C3,former Toronto,Toronto,CNE Automotive Bldg,107007,14063902,105, , , ,20228,Spadina-Fort York,19,10,4163970,The Beanfield Centre (formerly Allstream Centre) is an environmentally friendly conference venue.,Y,"{'type': 'MultiPoint', 'coordinates': [[-79.4104479776446, 43.6360299059783]]}"
15, ,Berkeley Street Theatre,Performing Arts,416-367-8243, ,https://www.canadianstage.com/Online/default.asp?BOparam::WScontent::loadArticle::permalink=berkeley&BOparam::WScontent::loadArticle::context_id=,8354326, ,8354326,26,Berkeley St,26 Berkeley St,M5A 2W3,former Toronto,Toronto, ,115001,14036508,26, , , ,2995,Toronto Centre,28,13,3277000,"Home to the Canadian Stage Company, the Berkeley Street Theatre presents an array of Canadian and international performances.",N,"{'type': 'MultiPoint', 'coordinates': [[-79.3640604980114, 43.6525759671447]]}"
16, ,Betty Oliphant Theatre (at Canada's National Ballet School),Performing Arts,416-964-3780, ,https://www.nbs-enb.ca/venue-rentals/betty-oliphant-theatre,10924127, ,10924127,404,Jarvis St,404 Jarvis St,M4Y 2G6,former Toronto,Toronto, ,115001,20058417,404, , , ,3741,Toronto Centre,27,13,1781615,"Designed by Jack Diamond, the Betty Oliphant Theatre is used by the Canada National Ballet School as a training and performance venue.",N,"{'type': 'MultiPoint', 'coordinates': [[-79.3778819880894, 43.6662605166366]]}"
17, ,Billy Bishop Toronto City Airport,Transportation,416-203-6942, ,https://www.billybishopairport.com/,8491775, ,8491775,4,Eireann Quay,4 Eireann Quay,M5V 0R7,former Toronto,Toronto,Island Airport,108005,20145542,4, , , ,19008,Spadina-Fort York,20,10,3341446,"Located minutes from the downtown core, Billy Bishop Airport serves nearby Canadian and American cities.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.3972835619535, 43.6359262833011]]}"
18, ,Hudson's Bay,Landmark,416-861-9111, ,https://www.thebay.com/,8677040, ,8677040,176,Yonge St,176 Yonge St,M5C 2L7,former Toronto,Toronto, ,115001,8676918,176, , , ,4733,Toronto Centre,28,13,2103897,"Famously known as being North America's oldest company, the Hudson Bay is a chain of department stores  that operate throughout the country.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.3800976787492, 43.6537413069459]]}"
19, ,Black Creek Pioneer Village,Museum,416-736-1733, ,https://blackcreek.ca/,544620, ,544620,1000,Murray Ross Pkwy,1000 Murray Ross Pkwy,M3J 2P3,North York,Toronto, ,107008,30091481,1000, , , ,6264,Humber River-Black Creek,8,7,4190714,"Become immersed in the lifestyles, customs, and surroundings of early residents who built the foundations for modern Toronto and Ontario at this 30-acre site.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.5178421019667, 43.7767692158923]]}"
20, ,Buddies in Bad Times Theatre,Performing Arts,416-975-8555, ,https://buddiesinbadtimes.com/,7730175, ,7730175,12,Alexander St,12 Alexander St,M4Y 1B4,former Toronto,Toronto, ,107002,30075783,12, , , ,9761,Toronto Centre,27,13,4095934,"Buddies in Bad Times theatre is the biggest, and the longest-running queer theatre in the world.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.3828631217741, 43.6653085812975]]}"
