_id,OBJECTID,GEO_ID,NAME,SOURCE_ADDRESS,SCHOOL_TYPE_DESC,ADDRESS_POINT_ID,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,GENERAL_USE_CODE,LONG,LAT
2,2,524780,A R S ARMENIAN PRIVATE SCHOOL,50 HALLCROWN PL,Private,524780,Hallcrown Pl,50 Hallcrown Pl,M2J 1P7,North York,Toronto,104008,-79.323156147744,43.770053062482
3,3,20258267,A Y J GLOBAL ACADEMY,4 LANSING SQ,Private,20258267,Lansing Sq,4 Lansing Sq,M2J 5A2,North York,Toronto,104008,-79.3252164120635,43.774082570705
1,1,330677,A PLUS ACADEMY OF ADVANCEMENT,2425 EGLINTON AVE E,Private,330677,Eglinton Ave E,2425 Eglinton Ave E,M1K 5G8,Scarborough,Toronto,104008,-79.267103936897,43.7320819460129
5,5,13967401,ABACUS MONTESSORI LEARNING CENTRE,4 CREDIT UNION DR,Private,13967401,Credit Union Dr,4 Credit Union Dr,M4A 2N8,North York,Toronto,106007,-79.3190099774403,43.725432232812
6,6,4605052,ABU BAKR EDUCATION ACADEMY,2665 LAWRENCE AVE E,Private,4605052,Lawrence Ave E,2665 Lawrence Ave E,M1P 2S2,Scarborough,Toronto,112001,-79.2621633018006,43.7514534548585
8,8,322971,ACADEMIE ALEXANDRE DUMAS,255 CORONATION DR,French Public,322971,Coronation Dr,255 Coronation Dr,M1E 2J3,Scarborough,Toronto,102001,-79.1797652166975,43.7624188078436
7,7,8087266,ACACIA INTERNATIONAL HIGH SCHOOL,5415 DUNDAS ST W,Private,8087266,Dundas St W,5415 Dundas St W,M9B 1B5,Etobicoke,Toronto,115001,-79.5412901930194,43.6339646127929
9,9,575619,ACADEMY OF EXCELLENCE,128 WILLOWDALE AVE,Private,575619,Willowdale Ave,128 Willowdale Ave,M2N 4Y2,North York,Toronto,112001,-79.4005055525118,43.7651862818454
10,10,30029356,ACADEMY OF MATH AND ENGLISH,5101 DUNDAS ST W,Private,30029356,Dundas St W,5101 Dundas St W,M9A 5G8,Etobicoke,Toronto,112001,-79.5319897329647,43.644824255422
11,11,9311790,ACADEMY OF NEW ECHO EDUCATION,1041 MCNICOLL AVE,Private,9311790,McNicoll Ave,1041 McNicoll Ave,M1W 3W6,Scarborough,Toronto,115001,-79.3344738933022,43.8041514841863
12,12,508042,ACE ACUMEN HIGH SCHOOL,1440 DON MILLS RD,Private,508042,Don Mills Rd,1440 Don Mills Rd,M3B 3M1,North York,Toronto,104008,-79.3475085093383,43.750732060267
13,13,10476656,ADAM BECK JUNIOR PUBLIC SCHOOL,400 SCARBOROUGH RD,English Public,10476656,Scarborough Rd,400 Scarborough Rd,M4E 3M8,former Toronto,Toronto,102001,-79.2884878925608,43.6831518038006
14,14,5336735,ADELFIHA'S CHRISTIAN ACADEMY,4340 DUFFERIN ST,Private,5336735,Dufferin St,4340 Dufferin St,M3H 5R9,North York,Toronto,109001,-79.4664451058379,43.7626893702758
15,15,10133016,AFRICENTRIC ALTERNATIVE SCHOOL,1430 SHEPPARD AVE W,English Public,10133016,Sheppard Ave W,1430 Sheppard Ave W,M3M 2W9,North York,Toronto,102001,-79.4882606578029,43.7454243556118
16,16,316926,AFZAL ISLAMIC MONTESSORI & ACADEMY,33 CASEBRIDGE CRT,Private,316926,Casebridge Crt,33 Casebridge Crt,M1B 3J5,Scarborough,Toronto,113001,-79.1995461417982,43.8090844901631
4,4,517961,A Y JACKSON SECONDARY SCHOOL,50 FRANCINE DR,English Public,517961,Francine Dr,50 Francine Dr,M2H 2G6,North York,Toronto,102002,-79.3665552934095,43.8052613014219
18,18,382096,AGINCOURT INTERNATIONAL ACADEMY,1001 SANDHURST CRCL,Private,382096,Sandhurst Crcl,1001 Sandhurst Crcl,M1V 1Z6,Scarborough,Toronto,107005,-79.2636771200357,43.8092576481457
17,17,3211411,AGINCOURT COLLEGIATE INSTITUTE,2621 MIDLAND AVE,English Public,3211411,Midland Ave,2621 Midland Ave,M1S 1R6,Scarborough,Toronto,102002,-79.2789099586918,43.7888738444071
19,19,356507,AGINCOURT JR PUBLIC SCHOOL,29 LOCKIE AVE,English Public,356507,Lockie Ave,29 Lockie Ave,M1S 1N3,Scarborough,Toronto,102001,-79.2811623057309,43.7882592158345
21,21,30022742,AGNES MCPHAIL PUBLIC SCHOOL,112 GOLDHAWK TRL,English Public,30022742,Goldhawk Trl,112 Goldhawk Trl,M1V 1W5,Scarborough,Toronto,102001,-79.2785533935458,43.819268975669
20,20,5479010,AGINCOURT MONTESSORI,2575 MIDLAND AVE,Private,5479010,Midland Ave,2575 Midland Ave,M1S 1R3,Scarborough,Toronto,115001,-79.2787041824473,43.7864432730251
24,24,376316,AL HAADI SCHOOL,690 PROGRESS AVE,Private,376316,Progress Ave,690 Progress Ave,M1H 3A6,Scarborough,Toronto,113001,-79.2484031068229,43.777941595248
22,22,10785753,AIM ACADEMY ISLAMIC SCHOOL,56 BOUSTEAD AVE,Private,10785753,Boustead Ave,56 Boustead Ave,M6R 1Y9,former Toronto,Toronto,109001,-79.4544695238304,43.6533088679897
31,31,10133520,ALBION HEIGHTS JUNIOR MIDDLE SCHOOL,45 LYNMONT RD,English Public,10133520,Lynmont Rd,45 Lynmont Rd,M9V 3W9,Etobicoke,Toronto,102001,-79.5943154958931,43.7313882639787
32,32,982437,ALBION LINC,1530 ALBION RD,English Public,982437,Albion Rd,1530 Albion Rd,M9V 1B4,Etobicoke,Toronto,107004,-79.5846021379965,43.7417625405401
23,23,2119588,AL AZHAR ISLAMIC SCHOOL,100 MCLEVIN AVE,Private,2119588,McLevin Ave,100 McLevin Ave,M1B 5K1,Scarborough,Toronto,113001,-79.2365750799133,43.8015539474172
34,34,10527839,ALEXANDER MUIR GLADSTONE AVENUE JUNIOR & SENIOR PUBLIC SCHOOL,108 GLADSTONE AVE,English Public,10527839,Gladstone Ave,108 Gladstone Ave,M6J 3L2,former Toronto,Toronto,102001,-79.4288472631571,43.6460212506421
35,35,333733,ALEXANDER STIRLING PUBLIC SCHOOL,70 FAWCETT TRL,English Public,333733,Fawcett Trl,70 Fawcett Trl,M1B 3A9,Scarborough,Toronto,102001,-79.2076059405385,43.8116563251017
36,36,300827,ALEXMUIR JUNIOR PUBLIC SCHOOL,95 ALEXMUIR BLVD,English Public,300827,Alexmuir Blvd,95 Alexmuir Blvd,M1V 1H6,Scarborough,Toronto,102001,-79.2856134903058,43.809109322683
27,27,508045,ALATHENA INTERNATIONAL ACADEMY SECONDARY SCHOOL - NORTH YORK,1470 DON MILLS RD,Private,508045,Don Mills Rd,1470 Don Mills Rd,M3B 2X9,North York,Toronto,104008,-79.3477301743604,43.7532181809796
25,25,1017314,AL IKHLAAS FOUNDATION SCHOOL,1245 MARTIN GROVE RD,Private,1017314,Martin Grove Rd,1245 Martin Grove Rd,M9W 4X2,Etobicoke,Toronto,113001,-79.5785365341563,43.7109597265285
39,39,1029710,ALL SAINTS CATHOLIC ELEMENTARY SCHOOL,1435 ROYAL YORK RD,English Separate,1029710,Royal York Rd,1435 Royal York Rd,M9P 3A7,Etobicoke,Toronto,102003,-79.5270811217707,43.6852216298202
40,40,873148,ALLENBY JUNIOR PUBLIC SCHOOL,391 ST CLEMENTS AVE,English Public,873148,St Clements Ave,391 St Clements Ave,M5N 1M2,former Toronto,Toronto,102001,-79.4127877318278,43.7094356428595
41,41,4368161,AL-MADRASAH AL-INAMYYAH,3665 LAWRENCE AVE E,Private,4368161,Lawrence Ave E,3665 Lawrence Ave E,M1G 1P7,Scarborough,Toronto,112001,-79.2204196021519,43.7603212832081
42,42,3948771,ALPHA ALTERNATIVE JUNIOR SCHOOL,20 BRANT ST,English Public,3948771,Brant St,20 Brant St,M5V 2M1,former Toronto,Toronto,102001,-79.3982225847432,43.6457220331711
43,43,6710176,ALPHA II ALTERNATIVE SCHOOL,1141 BLOOR ST W,English Public,6710176,Bloor St W,1141 Bloor St W,M6H 1M9,former Toronto,Toronto,102002,-79.4367968963581,43.65924610796
26,26,385458,ALATHENA INTERNATIONAL ACADEMY SECONDARY SCHOOL - BRIMLEY,4386 SHEPPARD AVE E,Private,385458,Sheppard Ave E,4386 Sheppard Ave E,M1S 1T8,Scarborough,Toronto,107005,-79.270651634897,43.7874691720053
45,45,11512110,AL-QASIM ACADEMY,3482 LAWRENCE AVE E,Private,11512110,Lawrence Ave E,3482 Lawrence Ave E,M1H 3E5,Scarborough,Toronto,107005,-79.2270980416162,43.7601291638765
46,46,489054,AL-RASSOOL ISLAMIC SCHOOL,120 BERMONDSEY RD,Private,489054,Bermondsey Rd,120 Bermondsey Rd,M4A 1X5,North York,Toronto,113001,-79.314609135376,43.7177128215758
29,29,9655748,ALAZHAR ACADEMY OF CANADA,2074 KIPLING AVE,Private,9655748,Kipling Ave,2074 Kipling Ave,M9W 4J9,Etobicoke,Toronto,115001,-79.5692116239686,43.7148769185254
47,47,312808,ALTERNATIVE SCARBOROUGH EDUCATION ONE,60 BRIMORTON DR,English Public,312808,Brimorton Dr,60 Brimorton Dr,M1P 3Z1,Scarborough,Toronto,102001,-79.2547962816571,43.766645247168
48,48,30033029,ALVIN CURLING PUBLIC SCHOOL,50 UPPER ROUGE TRL,English Public,30033029,Upper Rouge Trl,50 Upper Rouge Trl,M1B 6K4,Scarborough,Toronto,102002,-79.1902392505261,43.8084816562815
49,49,9187246,AMAIRAH PRIVATE SCHOOL,1625 ALBION RD,Private,9187246,Albion Rd,1625 Albion Rd,M9V 5H8,Etobicoke,Toronto,115001,-79.5945953168473,43.7417121222243
50,50,20037304,AMANAH ISLAMIC ACADEMY,1160 BIRCHMOUNT RD,Private,20037304,Birchmount Rd,1160 Birchmount Rd,M1P 2B8,Scarborough,Toronto,113001,-79.2838287540102,43.7411259867154
33,33,11125044,ALBORZ EDUCATION CENTRE SECONDARY SCHOOL,20 TANGREEN CRT,Private,11125044,Tangreen Crt,20 Tangreen Crt,M2M 3Y9,North York,Toronto,115001,-79.4261936575198,43.7954965800332
51,51,5145165,AMBERSON COLLEGE HIGH SCHOOL,3470 PHARMACY AVE,Private,5145165,Pharmacy Ave,3470 Pharmacy Ave,M1W 2S7,Scarborough,Toronto,113001,-79.3340562370886,43.8089116210937
28,28,9311804,ALATHENA INTERNATIONAL ACADEMY SECONDARY SCHOOL - SCARBOROUGH,1065 MCNICOLL AVE,Private,9311804,McNicoll Ave,1065 McNicoll Ave,M1W 3W6,Scarborough,Toronto,115001,-79.3326615935038,43.8036813180512
30,30,7531001,ALBERT CAMPBELL COLLEGIATE INSTITUTE,1550 SANDHURST CRCL,English Public,7531001,Sandhurst Crcl,1550 Sandhurst Crcl,M1V 1S6,Scarborough,Toronto,102002,-79.272424472942,43.8092625383141
38,38,9345080,ALIVE CHRISTIAN ACADEMY INTERNATIONAL SCHOOL,720 PROGRESS AVE,Private,9345080,Progress Ave,720 Progress Ave,M1H 2X3,Scarborough,Toronto,115001,-79.2464970220292,43.7791840973881
52,52,10035747,AMESBURY MIDDLE SCHOOL,201 GRACEFIELD AVE,English Public,10035747,Gracefield Ave,201 Gracefield Ave,M6L 1L7,North York,Toronto,102001,-79.4932822327979,43.7084286282992
44,44,30025396,ALPHA QUALITY EDUCATION INC,6120A YONGE ST,Private,30025396,Yonge St,6120A Yonge St,M2M 3W7,North York,Toronto,115001,-79.418932071581,43.7916222612949
37,37,9779413,ALIF CANADA ELEMENTARY SCHOOL,505 ELLESMERE RD,Private,9779413,Ellesmere Rd,505 Ellesmere Rd,M1R 4E5,Scarborough,Toronto,109001,-79.2949212969799,43.7621567551346
53,53,482522,ANCASTER PUBLIC SCHOOL,44 ANCASTER RD,English Public,482522,Ancaster Rd,44 Ancaster Rd,M3K 1S6,North York,Toronto,102001,-79.4669926271694,43.732866171726
