Address,Geometry Type,Coordinates,_id,NAME,CATEGORY,PHONE,WEBSITE,POSTAL_CODE,CITY
170 Princes' Blvd,,,1,BMO Field,Sports / Entertainment Venue,416-815-5982,https://www.bmofield.com/,M6K 3C3,Toronto
77 Wynford Dr,,,2,Aga Khan Museum,Museum,416-646-4677,https://www.agakhanmuseum.org/,M3C 1K1,Toronto
40 Bay St,,,3,Scotiabank Arena (formerly Air Canada Centre),Sports / Entertainment Venue,416-815-5500,https://www.scotiabankarena.com/,M5J 2X2,Toronto
750 Spadina Ave,,,4,Al Green Theatre (at the Miles Nadal Jewish Community Centre),Performing Arts,416-924-6211,http://www.algreentheatre.ca/,M5S 2J2,Toronto
2901 Yonge St,,,5,Alexander Muir Memorial Gardens,Nature/ Park,416-338-4386,https://www.toronto.ca/data/parks/prd/facilities/complex/193/index.html, ,Toronto
46 Gristmill Lane,,,6,Gallery Indigena,Gallery,416-366-3000,http://www.galleryindigena.com/,M5A 3C4,Toronto
19 Horticultural Ave,,,7,Allan Gardens,Nature/ Park,416-392-7288,https://www.toronto.ca/data/parks/prd/facilities/complex/41/index.html,M5A 2P2,Toronto
70 Berkeley St,,,8,Alumnae Theatre,Performing Arts,416-364-4170,https://www.alumnaetheatre.com/,M5A 2W6,Toronto
317 Dundas St W,,,9,Art Gallery of Ontario,Gallery,416-979-6648,https://ago.ca/,M5T 1G4,Toronto
1675 Lake Shore Blvd E,,,10,Ashbridges Bay Park,Nature/ Park,416-392-2489,https://www.toronto.ca/data/parks/prd/facilities/complex/1/index.html,M4L 3W6,Toronto
1 Brimley Rd S,,,11,Bluffer's Park and Beach (Scarborough Bluffs),Nature/ Park,416-392-2489,https://www.toronto.ca/data/parks/prd/facilities/complex/2/index.html, ,Toronto
76 Wychwood Ave,,,12,Artscape Wychwood Barns,Landmark,416-338-4386,https://artscapewychwoodbarns.ca/,M6G 2X7,Toronto
61 Claireville Dr,,,13,BAPS Shri Swaminarayan Mandir,Landmark,416-798-2277,http://www.baps.org/Global-Network/North-America/Toronto.aspx,M9W 5Z7,Toronto
105 Princes' Blvd,,,14,Beanfield Centre,Convention & Trade Centres,416-263-3000,https://www.beanfieldcentre.com/,M6K 3C3,Toronto
26 Berkeley St,,,15,Berkeley Street Theatre,Performing Arts,416-367-8243,https://www.canadianstage.com/Online/default.asp?BOparam::WScontent::loadArticle::permalink=berkeley&BOparam::WScontent::loadArticle::context_id=,M5A 2W3,Toronto
404 Jarvis St,,,16,Betty Oliphant Theatre (at Canada's National Ballet School),Performing Arts,416-964-3780,https://www.nbs-enb.ca/venue-rentals/betty-oliphant-theatre,M4Y 2G6,Toronto
4 Eireann Quay,,,17,Billy Bishop Toronto City Airport,Transportation,416-203-6942,https://www.billybishopairport.com/,M5V 0R7,Toronto
176 Yonge St,,,18,Hudson's Bay,Landmark,416-861-9111,https://www.thebay.com/,M5C 2L7,Toronto
1000 Murray Ross Pkwy,,,19,Black Creek Pioneer Village,Museum,416-736-1733,https://blackcreek.ca/,M3J 2P3,Toronto
12 Alexander St,,,20,Buddies in Bad Times Theatre,Performing Arts,416-975-8555,https://buddiesinbadtimes.com/,M4Y 1B4,Toronto
909 Lake Shore Blvd W,,,21,Budweiser Stage (formerly Molson Canadian Amphitheatre),Sports / Entertainment Venue,416-260-5600,https://www.livenation.com/venue/KovZpZAEkkIA/budweiser-stage-events,M6K 3L3,Toronto
160 Queen St W,,,22,Campbell House,Museum,416-597-0227,http://www.campbellhousemuseum.ca/,M5H 3H3,Toronto
215 King St W,,,23,Canada's Walk of Fame,Landmark,416-367-9255,https://www.canadaswalkoffame.com/, ,Toronto
5183 Sheppard Ave E,,,24,Chinese Cultural Centre of Greater Toronto,Attraction,416-292-9293,https://www.cccgt.org/,M1B 5Z5,Toronto
61 Claireville Dr,,,25,Canadian Museum of Cultural Heritage of Indo-Canadian,Museum,416-798-2277,https://www.baps.org/cultureandheritage/ExperienceIndia/Exhibitions/CanadianMuseumofCulturalHeritageofIndo-Canadians.aspx,M9W 5Z7,Toronto
