_id,OBJECTID,GEO_ID,NAME,SCHOOL_LEVEL,SCHOOL_TYPE,BOARD_NAME,SOURCE_ADDRESS,SCHOOL_TYPE_DESC,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,PLACE_NAME,GENERAL_USE_CODE,CENTRELINE_ID,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,geometry
1,1,330677,A PLUS ACADEMY OF ADVANCEMENT,,PR,,2425 EGLINTON AVE E,Private,330677,2425,Eglinton Ave E,2425 Eglinton Ave E,M1K 5G8,Scarborough,Toronto,,104008,111254,2425,,,,125,"{'type': 'MultiPoint', 'coordinates': [[-79.267103936897, 43.7320819460129]]}"
2,2,524780,A R S ARMENIAN PRIVATE SCHOOL,,PR,,50 HALLCROWN PL,Private,524780,50,Hallcrown Pl,50 Hallcrown Pl,M2J 1P7,North York,Toronto,,104008,438652,50,,,,5778,"{'type': 'MultiPoint', 'coordinates': [[-79.323156147744, 43.770053062482]]}"
3,3,20258267,A Y J GLOBAL ACADEMY,,PR,,4 LANSING SQ,Private,20258267,4,Lansing Sq,4 Lansing Sq,M2J 5A2,North York,Toronto,,104008,438287,4,,,,6007,"{'type': 'MultiPoint', 'coordinates': [[-79.3252164120635, 43.774082570705]]}"
4,4,517961,A Y JACKSON SECONDARY SCHOOL,,EP,Toronto District School Board,50 FRANCINE DR,English Public,517961,50,Francine Dr,50 Francine Dr,M2H 2G6,North York,Toronto,A. Y. Jackson Secondary School,102002,436260,50,,,,5639,"{'type': 'MultiPoint', 'coordinates': [[-79.3665552934095, 43.8052613014219]]}"
5,5,13967401,ABACUS MONTESSORI LEARNING CENTRE,,PR,,4 CREDIT UNION DR,Private,13967401,4,Credit Union Dr,4 Credit Union Dr,M4A 2N8,North York,Toronto,Latvian Canadian Centre,106007,444179,4,,,,5294,"{'type': 'MultiPoint', 'coordinates': [[-79.3190099774403, 43.725432232812]]}"
6,6,4605052,ABU BAKR EDUCATION ACADEMY,,PR,,2665 LAWRENCE AVE E,Private,4605052,2665,Lawrence Ave E,2665 Lawrence Ave E,M1P 2S2,Scarborough,Toronto,,112001,4605051,2665,,,,3828,"{'type': 'MultiPoint', 'coordinates': [[-79.2621633018006, 43.7514534548585]]}"
7,7,8087266,ACACIA INTERNATIONAL HIGH SCHOOL,,PR,,5415 DUNDAS ST W,Private,8087266,5415,Dundas St W,5415 Dundas St W,M9B 1B5,Etobicoke,Toronto,,115001,8087218,5415,,,,558,"{'type': 'MultiPoint', 'coordinates': [[-79.5412901930194, 43.6339646127929]]}"
8,8,322971,ACADEMIE ALEXANDRE DUMAS,,FP,Conseil scolaire Viamonde,255 CORONATION DR,French Public,322971,255,Coronation Dr,255 Coronation Dr,M1E 2J3,Scarborough,Toronto,Academie Alexandre Dumas,102001,108815,255,,,,7654,"{'type': 'MultiPoint', 'coordinates': [[-79.1797652166975, 43.7624188078436]]}"
9,9,575619,ACADEMY OF EXCELLENCE  ,,PR,,128 WILLOWDALE AVE,Private,575619,128,Willowdale Ave,128 Willowdale Ave,M2N 4Y2,North York,Toronto,,112001,439396,128,,,,7093,"{'type': 'MultiPoint', 'coordinates': [[-79.4005055525118, 43.7651862818454]]}"
10,10,30029356,ACADEMY OF MATH AND ENGLISH,,PR,,5101 DUNDAS ST W,Private,30029356,5101,Dundas St W,5101 Dundas St W,M9A 5G8,Etobicoke,Toronto,,112001,30012612,5101,,,,558,"{'type': 'MultiPoint', 'coordinates': [[-79.5319897329647, 43.644824255422]]}"
11,11,9311790,ACADEMY OF NEW ECHO EDUCATION,,PR,,1041 MCNICOLL AVE,Private,9311790,1041,McNicoll Ave,1041 McNicoll Ave,M1W 3W6,Scarborough,Toronto,,115001,9311781,1041,,,,6195,"{'type': 'MultiPoint', 'coordinates': [[-79.3344738933022, 43.8041514841863]]}"
12,12,508042,ACE ACUMEN HIGH SCHOOL,,PR,,1440 DON MILLS RD,Private,508042,1440,Don Mills Rd,1440 Don Mills Rd,M3B 3M1,North York,Toronto,,104008,441121,1440,,,,100,"{'type': 'MultiPoint', 'coordinates': [[-79.3475085093383, 43.750732060267]]}"
13,13,10476656,ADAM BECK JUNIOR PUBLIC SCHOOL,,EP,Toronto District School Board,400 SCARBOROUGH RD,English Public,10476656,400,Scarborough Rd,400 Scarborough Rd,M4E 3M8,former Toronto,Toronto,Adam Beck Junior Public School,102001,10476638,400,,,,4366,"{'type': 'MultiPoint', 'coordinates': [[-79.2884878925608, 43.6831518038006]]}"
14,14,5336735,ADELFIHA'S CHRISTIAN ACADEMY,,PR,,4340 DUFFERIN ST,Private,5336735,4340,Dufferin St,4340 Dufferin St,M3H 5R9,North York,Toronto,Revival Time Tabernacle,109001,5336708,4340,,,,557,"{'type': 'MultiPoint', 'coordinates': [[-79.4664451058379, 43.7626893702758]]}"
15,15,10133016,AFRICENTRIC ALTERNATIVE SCHOOL,,EP,Toronto District School Board,1430 SHEPPARD AVE W,English Public,10133016,1430,Sheppard Ave W,1430 Sheppard Ave W,M3M 2W9,North York,Toronto,Sheppard Public School,102001,10133008,1430,,,,6699,"{'type': 'MultiPoint', 'coordinates': [[-79.4882606578029, 43.7454243556118]]}"
16,16,316926,AFZAL ISLAMIC MONTESSORI & ACADEMY,,PR,,33 CASEBRIDGE CRT,Private,316926,33,Casebridge Crt,33 Casebridge Crt,M1B 3J5,Scarborough,Toronto,,113001,104065,33,,,,7522,"{'type': 'MultiPoint', 'coordinates': [[-79.1995461417982, 43.8090844901631]]}"
17,17,3211411,AGINCOURT COLLEGIATE INSTITUTE,,EP,Toronto District School Board,2621 MIDLAND AVE,English Public,3211411,2621,Midland Ave,2621 Midland Ave,M1S 1R6,Scarborough,Toronto,Agincourt Collegiate Institute,102002,3216896,2621,,,,8496,"{'type': 'MultiPoint', 'coordinates': [[-79.2789099586918, 43.7888738444071]]}"
18,18,382096,AGINCOURT INTERNATIONAL ACADEMY,,PR,,1001 SANDHURST CRCL,Private,382096,1001,Sandhurst Crcl,1001 Sandhurst Crcl,M1V 1Z6,Scarborough,Toronto,,107005,104203,1001,,,,8871,"{'type': 'MultiPoint', 'coordinates': [[-79.2636771200357, 43.8092576481457]]}"
